SampleID	PotNum	Timepoint	Position	Inoculum	CondLin	Clone	GEO	SeedLin	INHBTR	BAC	FUN	OOM	Treat	Rep	SeqRn
235t1	235	t1	280	Live	NonNative	CPNWR39	WLE	NonNative	FUN	YES	NO	YES	4	3	One
235t2	235	t2	280	Live	NonNative	CPNWR39	WLE	NonNative	FUN	YES	NO	YES	4	3	One
236t0	236	t0	100	Live	NonNative	CPNWR39	WLE	NonNative	NONE	YES	YES	YES	28	3	One
236t2	236	t2	100	Live	NonNative	CPNWR39	WLE	NonNative	NONE	YES	YES	YES	28	3	One
237t0	237	t0	279	Live	NonNative	CPNWR39	WLE	NonNative	BAC	NO	YES	YES	8	3	One
237t2	237	t2	279	Live	NonNative	CPNWR39	WLE	NonNative	BAC	NO	YES	YES	8	3	One
238t0	238	t0	193	Live	NonNative	CPNWR39	WLE	NonNative	OOM	YES	YES	NO	12	3	One
238t1	238	t1	193	Live	NonNative	CPNWR39	WLE	NonNative	OOM	YES	YES	NO	12	3	One
238t2	238	t2	193	Live	NonNative	CPNWR39	WLE	NonNative	OOM	YES	YES	NO	12	3	One
240t0	240	t0	103	Sterile	NonNative	CPNWR39	WLE	Native	STERILE	YES	YES	YES	31	2	Two
240t2	240	t2	103	Sterile	NonNative	CPNWR39	WLE	Native	STERILE	YES	YES	YES	31	2	Two
243t0	243	t0	201	Live	NonNative	CPNWR40	WLE	Native	FUNOOM	YES	NO	NO	19	4	Two
243t1	243	t1	201	Live	NonNative	CPNWR40	WLE	Native	FUNOOM	YES	NO	NO	19	4	Two
243t2	243	t2	201	Live	NonNative	CPNWR40	WLE	Native	FUNOOM	YES	NO	NO	19	4	Two
244t0	244	t0	174	Live	NonNative	CPNWR40	WLE	Native	FUNBAC	NO	NO	YES	15	5	Two
